Year,series,value
1940,Feed to Meat conversion (KG of feed for 1 KG of meat),4
1945,Feed to Meat conversion (KG of feed for 1 KG of meat),4
1950,Feed to Meat conversion (KG of feed for 1 KG of meat),3
1955,Feed to Meat conversion (KG of feed for 1 KG of meat),3
1960,Feed to Meat conversion (KG of feed for 1 KG of meat),2.5
1965,Feed to Meat conversion (KG of feed for 1 KG of meat),2.4
1970,Feed to Meat conversion (KG of feed for 1 KG of meat),2.25
1975,Feed to Meat conversion (KG of feed for 1 KG of meat),2.1
1980,Feed to Meat conversion (KG of feed for 1 KG of meat),2.05
1985,Feed to Meat conversion (KG of feed for 1 KG of meat),2
1990,Feed to Meat conversion (KG of feed for 1 KG of meat),2
1995,Feed to Meat conversion (KG of feed for 1 KG of meat),1.95
2000,Feed to Meat conversion (KG of feed for 1 KG of meat),1.95
2005,Feed to Meat conversion (KG of feed for 1 KG of meat),1.95
2006,Feed to Meat conversion (KG of feed for 1 KG of meat),1.96
2007,Feed to Meat conversion (KG of feed for 1 KG of meat),1.95
2008,Feed to Meat conversion (KG of feed for 1 KG of meat),1.93
2009,Feed to Meat conversion (KG of feed for 1 KG of meat),1.92
2010,Feed to Meat conversion (KG of feed for 1 KG of meat),1.92
2011,Feed to Meat conversion (KG of feed for 1 KG of meat),1.92
2012,Feed to Meat conversion (KG of feed for 1 KG of meat),1.9
2013,Feed to Meat conversion (KG of feed for 1 KG of meat),1.88
2014,Feed to Meat conversion (KG of feed for 1 KG of meat),1.89
2015,Feed to Meat conversion (KG of feed for 1 KG of meat),1.89
2016,Feed to Meat conversion (KG of feed for 1 KG of meat),1.86
2017,Feed to Meat conversion (KG of feed for 1 KG of meat),1.83
2018,Feed to Meat conversion (KG of feed for 1 KG of meat),1.82
2019,Feed to Meat conversion (KG of feed for 1 KG of meat),1.8
2020,Feed to Meat conversion (KG of feed for 1 KG of meat),1.79
2021,Feed to Meat conversion (KG of feed for 1 KG of meat),1.79
1925,Mortality rate (%),18
1935,Mortality rate (%),14
1940,Mortality rate (%),12
1945,Mortality rate (%),10
1950,Mortality rate (%),8
1955,Mortality rate (%),7
1960,Mortality rate (%),6
1965,Mortality rate (%),6
1970,Mortality rate (%),5
1975,Mortality rate (%),5
1980,Mortality rate (%),5
1985,Mortality rate (%),5
1990,Mortality rate (%),5
1995,Mortality rate (%),5
2000,Mortality rate (%),5
2005,Mortality rate (%),4
2006,Mortality rate (%),5
2007,Mortality rate (%),4.5
2008,Mortality rate (%),4.3
2009,Mortality rate (%),4.1
2010,Mortality rate (%),4
2011,Mortality rate (%),3.9
2012,Mortality rate (%),3.7
2013,Mortality rate (%),3.7
2014,Mortality rate (%),4.3
2015,Mortality rate (%),4.8
2016,Mortality rate (%),4.5
2017,Mortality rate (%),4.5
2018,Mortality rate (%),5
2019,Mortality rate (%),5
2020,Mortality rate (%),5
2021,Mortality rate (%),5.3
